コード,ランキング,都道府県,市区町村,人口,男,女
014303,1583,北海道,樺戸郡月形町,2821,1455,1366
014311,1667,北海道,樺戸郡浦臼町,1605,776,829
014320,1369,北海道,樺戸郡新十津川町,6312,2946,3366
014338,1602,北海道,雨竜郡妹背牛町,2635,1251,1384
014346,1635,北海道,雨竜郡秩父別町,2229,1046,1183
014362,1644,北海道,雨竜郡雨竜町,2109,1032,1077
014371,1664,北海道,雨竜郡北竜町,1637,776,861
014389,1581,北海道,雨竜郡沼田町,2840,1365,1475
014524,1348,北海道,上川郡鷹栖町,6585,3148,3437
014532,1213,北海道,上川郡東神楽町,9862,4673,5189
014541,1383,北海道,上川郡当麻町,6136,2848,3288
014559,1543,北海道,上川郡比布町,3471,1646,1825
014567,1611,北海道,上川郡愛別町,2480,1176,1304
014575,1557,北海道,上川郡上川町,3150,1495,1655
014583,1254,北海道,上川郡東川町,8576,3988,4588
014591,1226,北海道,上川郡美瑛町,9432,4424,5008
014605,1210,北海道,空知郡上富良野町,10004,5096,4908
014613,1476,北海道,空知郡中富良野町,4579,2152,2427
014621,1627,北海道,空知郡南富良野町,2288,1167,1121
014630,1669,北海道,勇払郡占冠村,1591,840,751
014648,1577,北海道,上川郡和寒町,2903,1392,1511
014656,1585,北海道,上川郡剣淵町,2811,1385,1426
014681,1575,北海道,上川郡下川町,2935,1405,1530
014699,1521,北海道,中川郡美深町,3789,1841,1948
014702,1725,北海道,中川郡音威子府村,636,343,293
014711,1687,北海道,中川郡中川町,1304,672,632
014729,1692,北海道,雨竜郡幌加内町,1261,625,636
014818,1525,北海道,増毛郡増毛町,3725,1697,2028
014826,1589,北海道,留萌郡小平町,2781,1327,1454
014834,1593,北海道,苫前郡苫前町,2747,1344,1403
014842,1384,北海道,苫前郡羽幌町,6135,2977,3158
014851,1704,北海道,苫前郡初山別村,1046,510,536
014869,1625,北海道,天塩郡遠別町,2335,1132,1203
014877,1595,北海道,天塩郡天塩町,2732,1386,1346
015113,1601,北海道,宗谷郡猿払村,2648,1274,1374
015121,1549,北海道,枝幸郡浜頓別町,3299,1608,1691
015130,1674,北海道,枝幸郡中頓別町,1504,754,750
015148,1310,北海道,枝幸郡枝幸町,7300,3526,3774
015164,1530,北海道,天塩郡豊富町,3583,1832,1751
015172,1633,北海道,礼文郡礼文町,2253,1153,1100
015181,1654,北海道,利尻郡利尻町,1865,931,934
015199,1637,北海道,利尻郡利尻富士町,2194,1069,1125
015202,1645,北海道,天塩郡幌延町,2102,1094,1008
015431,967,北海道,網走郡美幌町,17813,8700,9113
015440,1503,北海道,網走郡津別町,4100,2010,2090
015458,1183,北海道,斜里郡斜里町,10694,5275,5419
015466,1526,北海道,斜里郡清里町,3715,1828,1887
015474,1484,北海道,斜里郡小清水町,4415,2114,2301
015491,1479,北海道,常呂郡訓子府町,4533,2192,2341
015504,1603,北海道,常呂郡置戸町,2608,1205,1403
015521,1464,北海道,常呂郡佐呂間町,4688,2198,2490
015555,959,北海道,紋別郡遠軽町,18068,8816,9252
015598,1284,北海道,紋別郡湧別町,7983,3833,4150
015601,1626,北海道,紋別郡滝上町,2293,1124,1169
015610,1535,北海道,紋別郡興部町,3564,1761,1803
015628,1707,北海道,紋別郡西興部村,981,509,472
015636,1504,北海道,紋別郡雄武町,4093,1975,2118
015644,1345,北海道,網走郡大空町,6626,3234,3392
015717,1536,北海道,虻田郡豊浦町,3558,1714,1844
015750,1621,北海道,有珠郡壮瞥町,2391,1160,1231
015784,1023,北海道,白老郡白老町,15451,7357,8094
015814,1490,北海道,勇払郡厚真町,4306,2182,2124
015849,1277,北海道,虻田郡洞爺湖町,8068,3720,4348
015857,1308,北海道,勇払郡安平町,7311,3648,3663
015865,1307,北海道,勇払郡むかわ町,7323,3598,3725
016012,1157,北海道,沙流郡日高町,11107,5726,5381
016021,1478,北海道,沙流郡平取町,4539,2249,2290
016047,1439,北海道,新冠郡新冠町,5137,2560,2577
016071,1148,北海道,浦河郡浦河町,11453,5778,5675
016080,1515,北海道,様似郡様似町,3901,1886,2015
016098,1500,北海道,幌泉郡えりも町,4178,2120,2058
016101,910,北海道,日高郡新ひだか町,20591,10144,10447
016314,598,北海道,河東郡音更町,42971,20388,22583
016322,1407,北海道,河東郡士幌町,5829,2871,2958
016331,1457,北海道,河東郡上士幌町,4784,2371,2413
016349,1442,北海道,河東郡鹿追町,5061,2475,2586
016357,1419,北海道,上川郡新得町,5531,2774,2757
016365,1243,北海道,上川郡清水町,8907,4431,4476
016373,962,北海道,河西郡芽室町,17955,8574,9381
016381,1518,北海道,河西郡中札内村,3886,1883,2003
016390,1559,北海道,河西郡更別村,3129,1535,1594
016411,1426,北海道,広尾郡大樹町,5337,2695,2642
016420,1392,北海道,広尾郡広尾町,6009,2904,3105
016438,830,北海道,中川郡幕別町,25617,12178,13439
016446,1391,北海道,中川郡池田町,6012,2839,3173
016454,1574,北海道,中川郡豊頃町,2937,1432,1505
016462,1376,北海道,中川郡本別町,6190,3034,3156
016471,1379,北海道,足寄郡足寄町,6172,3043,3129
016489,1640,北海道,足寄郡陸別町,2159,1086,1073
016497,1497,北海道,十勝郡浦幌町,4195,2061,2134
016616,948,北海道,釧路郡釧路町,18642,8859,9783
016624,1265,北海道,厚岸郡厚岸町,8395,3985,4410
016632,1427,北海道,厚岸郡浜中町,5333,2615,2718
016641,1325,北海道,川上郡標茶町,6999,3418,3581
016659,1344,北海道,川上郡弟子屈町,6640,3194,3446
016675,1615,北海道,阿寒郡鶴居村,2466,1238,1228
016683,1319,北海道,白糠郡白糠町,7127,3334,3793
016918,1067,北海道,野付郡別海町,14210,7219,6991
016926,879,北海道,標津郡中標津町,22440,11085,11355
016934,1446,北海道,標津郡標津町,4849,2356,2493
016942,1486,北海道,目梨郡羅臼町,4367,2184,2183
016951,1748,北海道,色丹郡色丹村,0,0,0
016969,1747,北海道,国後郡泊村,0,0,0
016977,1746,北海道,国後郡留夜別村,0,0,0
016985,1745,北海道,択捉郡留別村,0,0,0
016993,1744,北海道,紗那郡紗那村,0,0,0
017001,1743,北海道,蘂取郡蘂取村,0,0,0
022012,95,青森県,青森市,267520,124900,142620
022021,166,青森県,弘前市,161958,74866,87092
022039,125,青森県,八戸市,218182,104588,113594
022047,738,青森県,黒石市,31003,14513,16490
022055,513,青森県,五所川原市,50624,23220,27404
022063,460,青森県,十和田市,58328,27936,30392
022071,646,青森県,三沢市,37899,18870,19029
022080,501,青森県,むつ市,52744,25748,26996
022098,765,青森県,つがる市,29472,13838,15634
022101,760,青森県,平川市,29713,14007,15706
023019,1212,青森県,東津軽郡平内町,9948,4744,5204
023035,1638,青森県,東津軽郡今別町,2193,1055,1138
023043,1610,青森県,東津軽郡蓬田村,2495,1207,1288
023078,1438,青森県,東津軽郡外ヶ浜町,5152,2460,2692
023213,1250,青森県,西津軽郡鰺ヶ沢町,8758,4110,4648
023230,1322,青森県,西津軽郡深浦町,7038,3338,3700
023434,1693,青森県,中津軽郡西目屋村,1242,577,665
023612,1057,青森県,南津軽郡藤崎町,14422,6776,7646
023621,1260,青森県,南津軽郡大鰐町,8470,3904,4566
023671,1305,青森県,南津軽郡田舎館村,7352,3489,3863
023817,1126,青森県,北津軽郡板柳町,12445,5735,6710
023841,1140,青森県,北津軽郡鶴田町,11756,5491,6265
023876,1220,青森県,北津軽郡中泊町,9645,4554,5091
024015,1132,青森県,上北郡野辺地町,12027,5624,6403
024023,1063,青森県,上北郡七戸町,14320,6860,7460
024058,1181,青森県,上北郡六戸町,10714,5289,5425
024066,1499,青森県,上北郡横浜町,4181,2093,2088
024082,998,青森県,上北郡東北町,16354,7938,8416
024112,1217,青森県,上北郡六ヶ所村,9736,5333,4403
024121,836,青森県,上北郡おいらせ町,25148,12160,12988
024236,1461,青森県,下北郡大間町,4771,2436,2335
024244,1410,青森県,下北郡東通村,5738,2986,2752
024252,1666,青森県,下北郡風間浦村,1618,782,836
024261,1661,青森県,下北郡佐井村,1711,862,849
024414,1240,青森県,三戸郡三戸町,9022,4350,4672
024422,1017,青森県,三戸郡五戸町,15653,7571,8082
024431,1454,青森県,三戸郡田子町,4817,2320,2497
024457,995,青森県,三戸郡南部町,16543,7845,8698
024465,1119,青森県,三戸郡階上町,12737,6414,6323
024503,1642,青森県,三戸郡新郷村,2129,1056,1073
032018,89,岩手県,盛岡市,280286,132316,147970
032026,558,岩手県,宮古市,46866,22500,24366
032034,707,岩手県,大船渡市,32845,15700,17145
032051,308,岩手県,花巻市,91094,43661,47433
032069,305,岩手県,北上市,91547,45934,45613
032077,722,岩手県,久慈市,32000,15460,16540
032085,846,岩手県,遠野市,24528,11829,12699
032093,262,岩手県,一関市,107555,52436,55119
032107,970,岩手県,陸前高田市,17647,8499,9148
032115,757,岩手県,釜石市,29902,14289,15613
032131,842,岩手県,二戸市,24655,11692,12963
032140,861,岩手県,八幡平市,23541,11368,12173
032158,259,岩手県,奥州市,109747,53553,56194
032166,484,岩手県,滝沢市,54933,26997,27936
033014,1028,岩手県,岩手郡雫石町,15301,7396,7905
033022,1424,岩手県,岩手郡葛巻町,5433,2690,2743
033031,1137,岩手県,岩手郡岩手町,11841,5805,6036
033219,702,岩手県,紫波郡紫波町,32904,15861,17043
033227,814,岩手県,紫波郡矢巾町,26341,12598,13743
033669,1448,岩手県,和賀郡西和賀町,4840,2281,2559
033812,1034,岩手県,胆沢郡金ケ崎町,15183,7803,7380
034029,1335,岩手県,西磐井郡平泉町,6859,3321,3538
034410,1453,岩手県,気仙郡住田町,4817,2384,2433
034614,1182,岩手県,上閉伊郡大槌町,10709,5133,5576
034827,1066,岩手県,下閉伊郡山田町,14240,6981,7259
034835,1281,岩手県,下閉伊郡岩泉町,8038,3972,4066
034843,1569,岩手県,下閉伊郡田野畑村,2977,1499,1478
034851,1623,岩手県,下閉伊郡普代村,2362,1187,1175
035017,1271,岩手県,九戸郡軽米町,8134,3995,4139
035033,1514,岩手県,九戸郡野田村,3975,1943,2032
035068,1434,岩手県,九戸郡九戸村,5238,2501,2737
035076,1039,岩手県,九戸郡洋野町,15051,7300,7751
035246,1165,岩手県,二戸郡一戸町,10960,5310,5650
041009,11,宮城県,仙台市,1066362,515655,550707
042021,206,宮城県,石巻市,134711,65406,69305
042030,507,宮城県,塩竈市,52058,24983,27075
042056,465,宮城県,気仙沼市,57652,27800,29852
042064,735,宮城県,白石市,31229,15409,15820
042072,342,宮城県,名取市,79720,39197,40523
042081,804,宮城県,角田市,26917,13417,13500
042099,434,宮城県,多賀城市,62061,30795,31266
042111,592,宮城県,岩沼市,43448,21475,21973
042129,377,宮城県,登米市,73338,35987,37351
042137,435,宮城県,栗原市,61910,30165,31745
042145,639,宮城県,東松島市,38343,18777,19566
042153,222,宮城県,大崎市,123776,60966,62810
042161,504,宮城県,富谷市,52418,25780,26638
043010,1159,宮城県,刈田郡蔵王町,11074,5441,5633
043028,1696,宮城県,刈田郡七ヶ宿町,1225,605,620
043214,862,宮城県,柴田郡大河原町,23531,11522,12009
043222,1206,宮城県,柴田郡村田町,10061,5048,5013
043231,656,宮城県,柴田郡柴田町,36800,18338,18462
043249,1273,宮城県,柴田郡川崎町,8116,4028,4088
043419,1136,宮城県,伊具郡丸森町,11911,6013,5898
043613,699,宮城県,亘理郡亘理町,33077,16272,16805
043621,1146,宮城県,亘理郡山元町,11562,5723,5839
044016,1102,宮城県,宮城郡松島町,13085,6333,6752
044041,968,宮城県,宮城郡七ヶ浜町,17795,8870,8925
044067,663,宮城県,宮城郡利府町,35888,17708,18180
044211,788,宮城県,黒川郡大和町,27964,14458,13506
044229,1298,宮城県,黒川郡大郷町,7584,3784,3800
044245,1415,宮城県,黒川郡大衡村,5569,2804,2765
044440,1372,宮城県,加美郡色麻町,6265,3034,3231
044458,898,宮城県,加美郡加美町,21427,10586,10841
045012,1049,宮城県,遠田郡涌谷町,14628,7207,7421
045055,866,宮城県,遠田郡美里町,23195,11331,11864
045811,1401,宮城県,牡鹿郡女川町,5918,2913,3005
046060,1138,宮城県,本吉郡南三陸町,11771,5794,5977
052019,85,秋田県,秋田市,297316,140206,157110
052027,541,秋田県,能代市,48334,22450,25884
052035,333,秋田県,横手市,82454,39160,43294
052043,412,秋田県,大館市,66807,31551,35256
052060,853,秋田県,男鹿市,24014,11442,12572
052078,622,秋田県,湯沢市,40531,19549,20982
052094,794,秋田県,鹿角市,27714,13169,14545
052108,388,秋田県,由利本荘市,71723,34625,37098
052116,730,秋田県,潟上市,31624,15001,16623
052124,367,秋田県,大仙市,75207,35423,39784
052132,776,秋田県,北秋田市,28536,13436,15100
052141,878,秋田県,にかほ市,22463,10790,11673
052159,864,秋田県,仙北市,23443,10884,12559
053031,1477,秋田県,鹿角郡小坂町,4550,2123,2427
053279,1650,秋田県,北秋田郡上小阿仁村,1958,935,1023
053465,1584,秋田県,山本郡藤里町,2819,1354,1465
053481,1050,秋田県,山本郡三種町,14609,6777,7832
053490,1370,秋田県,山本郡八峰町,6301,2961,3340
053619,1280,秋田県,南秋田郡五城目町,8060,3771,4289
053635,1430,秋田県,南秋田郡八郎潟町,5277,2412,2865
053660,1489,秋田県,南秋田郡井川町,4310,2046,2264
053686,1570,秋田県,南秋田郡大潟村,2976,1490,1486
054348,966,秋田県,仙北郡美郷町,17831,8455,9376
054631,1093,秋田県,雄勝郡羽後町,13367,6505,6862
054640,1620,秋田県,雄勝郡東成瀬村,2396,1252,1144
062014,112,山形県,山形市,238293,114225,124068
062022,361,山形県,米沢市,75838,37245,38593
062031,226,山形県,鶴岡市,118692,57067,61625
062049,294,山形県,酒田市,95789,45970,49819
062057,705,山形県,新庄市,32860,15739,17121
062065,627,山形県,寒河江市,39745,19458,20287
062073,785,山形県,上山市,28084,13510,14574
062081,889,山形県,村山市,21742,10673,11069
062090,840,山形県,長井市,24851,12181,12670
062103,445,山形県,天童市,60627,29668,30959
062111,547,山形県,東根市,47830,23597,24233
062120,1075,山形県,尾花沢市,13996,6930,7066
062138,766,山形県,南陽市,29465,14272,15193
063011,1090,山形県,東村山郡山辺町,13570,6633,6937
063029,1184,山形県,東村山郡中山町,10590,5182,5408
063215,984,山形県,西村山郡河北町,17000,8344,8656
063223,1471,山形県,西村山郡西川町,4655,2261,2394
063231,1393,山形県,西村山郡朝日町,5999,2983,3016
063240,1311,山形県,西村山郡大江町,7284,3662,3622
063410,1385,山形県,北村山郡大石田町,6124,3043,3081
063614,1447,山形県,最上郡金山町,4848,2403,2445
063622,1296,山形県,最上郡最上町,7607,3747,3860
063631,1460,山形県,最上郡舟形町,4771,2336,2435
063649,1343,山形県,最上郡真室川町,6651,3201,3450
063657,1582,山形県,最上郡大蔵村,2830,1411,1419
063665,1522,山形県,最上郡鮭川村,3767,1821,1946
063673,1512,山形県,最上郡戸沢村,3998,1902,2096
063819,890,山形県,東置賜郡高畠町,21681,10628,11053
063827,1087,山形県,東置賜郡川西町,13698,6757,6941
064017,1340,山形県,西置賜郡小国町,6737,3396,3341
064025,1123,山形県,西置賜郡白鷹町,12507,6186,6321
064033,1365,山形県,西置賜郡飯豊町,6398,3169,3229
064262,1320,山形県,東田川郡三川町,7062,3456,3606
064289,926,山形県,東田川郡庄内町,19453,9421,10032
064611,1125,山形県,飽海郡遊佐町,12467,5958,6509
072010,94,福島県,福島市,267924,130065,137859
072028,251,福島県,会津若松市,112445,54060,58385
072036,79,福島県,郡山市,315155,154613,160542
072044,83,福島県,いわき市,306714,150847,155867
072052,464,福島県,白河市,57869,28906,28963
072079,375,福島県,須賀川市,73828,36437,37391
072087,580,福島県,喜多方市,44344,21497,22847
072095,708,福島県,相馬市,32842,16333,16509
072109,509,福島県,二本松市,51263,25401,25862
072117,688,福島県,田村市,33600,16626,16974
072125,474,福島県,南相馬市,56618,28257,28361
072133,473,福島県,伊達市,56768,27739,29029
072141,759,福島県,本宮市,29852,14780,15072
073016,1161,福島県,伊達郡桑折町,11050,5367,5683
073032,1269,福島県,伊達郡国見町,8203,3957,4246
073083,1142,福島県,伊達郡川俣町,11687,5829,5858
073229,1249,福島県,安達郡大玉村,8784,4361,4423
073423,1127,福島県,岩瀬郡鏡石町,12436,6142,6294
073440,1431,福島県,岩瀬郡天栄村,5245,2649,2596
073628,1443,福島県,南会津郡下郷町,4986,2483,2503
073644,1730,福島県,南会津郡檜枝岐村,503,263,240
073679,1520,福島県,南会津郡只見町,3828,1890,1938
073687,1085,福島県,南会津郡南会津町,13733,6758,6975
074021,1619,福島県,耶麻郡北塩原村,2427,1228,1199
074055,1416,福島県,耶麻郡西会津町,5560,2717,2843
074071,1553,福島県,耶麻郡磐梯町,3230,1606,1624
074080,1113,福島県,耶麻郡猪苗代町,12836,6296,6540
074217,1054,福島県,河沼郡会津坂下町,14552,7069,7483
074225,1563,福島県,河沼郡湯川村,3050,1481,1569
074233,1573,福島県,河沼郡柳津町,2938,1459,1479
074446,1684,福島県,大沼郡三島町,1380,697,683
074454,1656,福島県,大沼郡金山町,1781,880,901
074462,1700,福島県,大沼郡昭和村,1120,545,575
074471,950,福島県,大沼郡会津美里町,18526,8972,9554
074616,911,福島県,西白河郡西郷村,20494,10407,10087
074641,1382,福島県,西白河郡泉崎村,6140,3069,3071
074659,1450,福島県,西白河郡中島村,4822,2358,2464
074667,985,福島県,西白河郡矢吹町,16944,8426,8518
074811,1104,福島県,東白川郡棚倉町,13011,6422,6589
074829,1432,福島県,東白川郡矢祭町,5241,2579,2662
074837,1285,福島県,東白川郡塙町,7979,3961,4018
074845,1571,福島県,東白川郡鮫川村,2975,1518,1457
075019,1080,福島県,石川郡石川町,13884,6938,6946
075027,1375,福島県,石川郡玉川村,6191,3095,3096
075035,1420,福島県,石川郡平田村,5512,2790,2722
075043,1404,福島県,石川郡浅川町,5896,2960,2936
075051,1470,福島県,石川郡古殿町,4655,2304,2351
075213,1001,福島県,田村郡三春町,16312,8129,8183
075221,1238,福島県,田村郡小野町,9092,4547,4545
075418,1473,福島県,双葉郡広野町,4608,2434,2174
075426,1357,福島県,双葉郡楢葉町,6480,3385,3095
075434,1147,福島県,双葉郡富岡町,11516,5987,5529
075442,1628,福島県,双葉郡川内村,2285,1154,1131
075451,1211,福島県,双葉郡大熊町,9955,4990,4965
075469,1423,福島県,双葉郡双葉町,5436,2636,2800
075477,1035,福島県,双葉郡浪江町,15174,7530,7644
075485,1691,福島県,双葉郡葛尾村,1273,657,616
075612,1299,福島県,相馬郡新地町,7581,3807,3774
075647,1465,福島県,相馬郡飯舘村,4686,2357,2329
082015,92,茨城県,水戸市,268843,131737,137106
082023,159,茨城県,日立市,167198,83656,83542
082031,193,茨城県,土浦市,141613,71072,70541
082040,198,茨城県,古河市,140499,71050,69449
082058,392,茨城県,石岡市,70981,35320,35661
082074,518,茨城県,結城市,49936,25350,24586
082082,364,茨城県,龍ケ崎市,75509,37558,37951
082104,605,茨城県,下妻市,42272,21526,20746
082112,440,茨城県,常総市,61180,31004,30176
082121,550,茨城県,常陸太田市,47338,23323,24015
082147,816,茨城県,高萩市,26315,13109,13206
082155,619,茨城県,北茨城市,40757,20454,20303
082163,379,茨城県,笠間市,73183,36176,37007
082171,271,茨城県,取手市,106008,52250,53758
082198,327,茨城県,牛久市,84085,41486,42599
082201,103,茨城県,つくば市,255244,129878,125366
082210,173,茨城県,ひたちなか市,155762,78565,77197
082228,416,茨城県,鹿嶋市,65797,33694,32103
082236,810,茨城県,潮来市,26555,13229,13326
082244,394,茨城県,守谷市,70659,35367,35292
082252,635,茨城県,常陸大宮市,38664,19305,19359
082261,497,茨城県,那珂市,53501,26291,27210
082279,277,茨城県,筑西市,100670,50217,50453
082287,505,茨城県,坂東市,52346,27130,25216
082295,648,茨城県,稲敷市,37692,19066,18626
082309,623,茨城県,かすみがうら市,40369,20622,19747
082317,642,茨城県,桜川市,38250,19121,19129
082325,297,茨城県,神栖市,94295,48625,45670
082333,718,茨城県,行方市,32055,16218,15837
082341,555,茨城県,鉾田市,47018,24474,22544
082350,498,茨城県,つくばみらい市,53446,26844,26602
082368,536,茨城県,小美玉市,48797,24666,24131
083020,743,茨城県,東茨城郡茨城町,30784,15463,15321
083097,1014,茨城県,東茨城郡大洗町,15717,7808,7909
083101,958,茨城県,東茨城郡城里町,18079,9025,9054
083411,640,茨城県,那珂郡東海村,38297,19447,18850
083640,1042,茨城県,久慈郡大子町,14952,7411,7541
084425,1058,茨城県,稲敷郡美浦村,14365,7402,6963
084433,525,茨城県,稲敷郡阿見町,49489,24692,24797
084476,1286,茨城県,稲敷郡河内町,7953,3947,4006
085219,905,茨城県,結城郡八千代町,21090,11088,10002
085421,1278,茨城県,猿島郡五霞町,8063,4117,3946
085464,843,茨城県,猿島郡境町,24637,12646,11991
085642,1024,茨城県,北相馬郡利根町,15427,7621,7806
092011,34,栃木県,宇都宮市,515831,258149,257682
092029,196,栃木県,足利市,141021,69619,71402
092037,174,栃木県,栃木市,154371,77216,77155
092045,243,栃木県,佐野市,114146,56762,57384
092053,299,栃木県,鹿沼市,93807,46715,47092
092061,358,栃木県,日光市,76413,37377,39036
092088,160,栃木県,小山市,166975,84835,82140
092096,344,栃木県,真岡市,79002,40016,38986
092100,402,栃木県,大田原市,68873,34237,34636
092118,747,栃木県,矢板市,30577,15211,15366
092134,235,栃木県,那須塩原市,116133,57973,58160
092142,587,栃木県,さくら市,43802,22084,21718
092151,852,栃木県,那須烏山市,24035,12021,12014
092169,448,栃木県,下野市,59880,29761,30119
093017,737,栃木県,河内郡上三川町,31012,15978,15034
093424,892,栃木県,芳賀郡益子町,21616,10798,10818
093432,1141,栃木県,芳賀郡茂木町,11703,5834,5869
093441,1155,栃木県,芳賀郡市貝町,11277,5768,5509
093459,1021,栃木県,芳賀郡芳賀町,15505,7890,7615
093611,638,栃木県,下都賀郡壬生町,38359,18994,19365
093645,837,栃木県,下都賀郡野木町,25006,12508,12498
093840,1204,栃木県,塩谷郡塩谷町,10069,5026,5043
093866,773,栃木県,塩谷郡高根沢町,28803,15111,13692
094072,854,栃木県,那須郡那須町,24011,11967,12044
094111,1053,栃木県,那須郡那珂川町,14560,7376,7184
102016,75,群馬県,前橋市,329860,161386,168474
102024,63,群馬県,高崎市,367861,180725,187136
102032,275,群馬県,桐生市,102988,49728,53260
102041,127,群馬県,伊勢崎市,212237,106736,105501
102059,123,群馬県,太田市,222518,113878,108640
102067,579,群馬県,沼田市,44361,21705,22656
102075,372,群馬県,館林市,74084,37147,36937
102083,381,群馬県,渋川市,73068,35763,37305
102091,433,群馬県,藤岡市,62261,30528,31733
102105,567,群馬県,富岡市,45862,22696,23166
102113,487,群馬県,安中市,54643,26982,27661
102121,534,群馬県,みどり市,48921,24209,24712
103446,1048,群馬県,北群馬郡榛東村,14648,7507,7141
103454,876,群馬県,北群馬郡吉岡町,22563,11111,11452
103667,1705,群馬県,多野郡上野村,1039,528,511
103675,1670,群馬県,多野郡神流町,1564,749,815
103829,1368,群馬県,甘楽郡下仁田町,6316,3099,3217
103837,1673,群馬県,甘楽郡南牧村,1504,718,786
103845,1124,群馬県,甘楽郡甘楽町,12494,6200,6294
104213,1051,群馬県,吾妻郡中之条町,14576,7139,7437
104248,1433,群馬県,吾妻郡長野原町,5240,2647,2593
104256,1236,群馬県,吾妻郡嬬恋村,9117,4637,4480
104264,1389,群馬県,吾妻郡草津町,6031,3068,2963
104281,1551,群馬県,吾妻郡高山村,3268,1616,1652
104299,1128,群馬県,吾妻郡東吾妻町,12339,6080,6259
104434,1510,群馬県,利根郡片品村,3999,1991,2008
104442,1562,群馬県,利根郡川場村,3066,1465,1601
104485,1328,群馬県,利根郡昭和村,6979,3523,3456
104493,976,群馬県,利根郡みなかみ町,17293,8474,8819
