漢字,読み,間違い1,間違い2,間違い3,意味。
回廊,かいろう,えろう,かいかく,まわりろう,建物の周りを取り囲む屋根付きの廊下。
概論,がいろん,かいろん,がいりん,かいりん,総論。
楓,かえで,ふう,もみじき,あきのき,秋に紅葉する落葉樹。「ふう」は別種（フウ）の音読みで混同されやすい。
画一,かくいつ,がいち,かいち,がかつ,一様にそろえること。
画策,かくさく,がさく,かくさつ,がさつ,ひそかに計画を立てること。
拡散,かくさん,がっさん,ひろさん,かくざん,広がり散らばること。
確執,かくしつ,かくしゅう,たしかつ,かくしつづ,互いに自分の意見を譲らないことから生じる不和。
客分,かくぶん,きゃくぶん,きゃくわけ,かくわけ,組織の外から客として迎える立場。
河岸,かし,かわぎし,かがん,がし,川の岸辺、または魚市場のこと。「かわぎし」は別読みだが「かし」が慣用的。
樫,かし,しゅう,かたき,かしわき,硬い材木が取れる常緑広葉樹。「しゅう」は誤読で「かし」が正しい。
瑕疵,かし,きず,かじ,けっし,欠点・傷・欠陥のこと。法律・不動産の分野で「瑕疵担保責任」などの形で使われる。
霞む,かすむ,えんむ,もやむ,うすむ,霞や靄のためにぼんやり見えること。目がかすむ・存在感が薄れるという意味にも使われる。
河川敷,かせんしき,かせんじき,かわじき,かせんふ,常時水が流れている区域の外側にある、平らな土地や敷地。
蝸牛,かたつむり,かぎゅう,うずまきむし,かいむし,陸生の巻き貝の一種。「かぎゅう」は音読みで「かたつむり」が訓読み。
割愛,かつあい,わりあい,かつめい,わりあいす,惜しいと思いながらも省略すること。
画期的,かっきてき,がきてき,かくきてき,がっきてき,非常に新しいこと。
葛藤,かっとう,くずふじ,かつどう,かっとん,相反する欲求や感情が心の中でぶつかり合うこと。「内なる葛藤」などの形で使われる。
鎌,かま,れん,かりみ,かりき,草や稲を刈り取る刃物。「れん」は誤読で「かま」が正しい。
寡黙,かもく,すくもく,ひくもく,かもくく,言葉数が少なく、静かなこと。
間隙,かんげき,まげき,かんげきき,まげきき,物と物とのすき間、または不和のきっかけ。
完遂,かんすい,かんつい,まるつい,かんすい,物事を最後まで完全にやり遂げること。
含蓄,がんちく,ふくちく,がんちゅう,ふくちゅう,言葉などのなかに深い意味が込められていること。
神無月,かんなづき,しんなしつき,かみなしつき,かんなつき,旧暦10月の別名。出雲大社に全国の神が集まるため各地に神がいなくなる月。
間髪,かんはつ,かんぱつ,まはつ,あいだはつ,わずかな時間。
間髪を入れず,かんはつをいれず,かんぱつをいれず,まかみをいれず,かんぱつをいれて,間に髪の毛1本も挟めないほど即座に。
頑迷,がんめい,がんくら,かためい,がんまい,頑固で道理がわからないこと。「頑迷固陋」という四字熟語でも使われる。
奇禍,きか,くか,きわざ,くわざ,思いがけない災難のこと。
危急,ききゅう,あぶきゅう,ききゅうう,ききょ,危険が差し迫っていること。
希求,ききゅう,まれきゅう,きく,けきゅう,強く願い求めること。
危惧,きぐ,あぶくれ,きお,きく,よくない結果になるのではと心配すること。「危惧する」「危惧の念を抱く」の形で使われる。
気骨,きこつ,きほね,けいこつ,きぼね,自分の信念を貫く強い精神力・意気地。「きほね」は誤読で「きこつ」が正しい。
既婚,きこん,がいこん,きごん,きけん,結婚していること。
奇才,きさい,くさい,きざい,きさつ,卓越した才能のこと。
既出,きしゅつ,がいしゅつ,きで,きだし,すでに出たもの。
既成事実,きせいじじつ,がいせいじじつ,きじょうじじつ,きせじじつ,既に成立した事実。
寄贈,きぞう,きそう,よせぞう,きじょう,贈り与えること。
既存,きそん,がいそん,きぞん,きしょう,以前から存在すること。
忌憚,きたん,いみたん,きいじ,きだん,遠慮すること。「忌憚のない意見」は「遠慮のない率直な意見」という意味。
既知,きち,がいち,きじ,きし,知っていること。
生粋,きっすい,なまいき,きすい,なますい,混じり気が全くないこと。純粋なその土地生まれなど。
気っ風,きっぷ,きっぷう,きのかぜ,きっぷ,気性、気立て。特に、さっぱりとして思い切りのよい江戸っ子的な気質。
詰問,きつもん,つめもん,けつもん,きつもんん,厳しく問い詰めること。
奇特,きとく,きどく,きとっく,きどっく,感心なこと。
既得権,きとくけん,きどくけん,がいとくけん,きとっけん,既に得た権利。
奇抜,きばつ,きぬき,きばち,きはつ,変わっていること。
忌引き,きびき,いびき,きひき,いみびき,近親者の死去により、学校や仕事を休むこと。
詭弁,きべん,ごまかしべん,ぎべん,きべ,見た目は正しそうだが実際は誤った論理・議論。相手をごまかすための巧みな弁論。
客体,きゃくたい,かくたい,きゃくたいあい,かくたいあい,主観の認識の対象となるもの。
逆転,ぎゃくてん,さかてん,ぎゃくでん,さかてんん,事の形勢が反対になること。
杞憂,きゆう,むだゆう,きうれい,もきゆう,取り越し苦労・無用な心配のこと。古代中国の「杞」という国の人が天が落ちてくることを心配した故事から。
脅威,きょうい,きょううい,おどしい,きょうえ,おびやかす力。
侠客,きょうかく,きょうきゃく,おとこだて,きょうかく,強きを挫き、弱きを助けることを旨とした、昔の無法者・おとこだて。
境遇,きょうぐう,さかいあい,けいぐう,きょうあい,その人が置かれている生活上の状況・環境のこと。
強硬,きょうこう,ごうこう,きょうごう,つよこう,態度が厳しいこと。
矜持,きょうじ,ほこりじ,きんじ,きょうち,自分の能力・価値への誇りや自負心。「プロとしての矜持」などの形で使われる。
行住坐臥,ぎょうじゅうざが,こうじゅうざが,ぎょうじゅうすわるふす,あんじゅうざが,歩く、とどまる、座る、寝るという日常の振る舞い。
強靭,きょうじん,きょうせい,ごうじん,きょうにん,強くしなやかなこと。
行年,ぎょうねん,こうねん,ゆきとし,あんねん,この世に生きていた年数。享年。亡くなったときの年齢。
脅迫,きょうはく,きょうばく,おどしはく,きょうぱく,脅して迫ること。
強弁,きょうべん,ごうべん,つよべん,きょうへん,無理に言い張ること。
強要,きょうよう,ごうよう,つよよう,きょうようう,無理に求めること。
玉石混交,ぎょくせきこんこう,たまいしこんこう,ぎょくせきこんごう,たまいしこんごう,優れたものと劣ったものが混ざっていること。
錐,きり,すい,とがりどうぐ,あなあけ,穴をあける先のとがった工具。「すい」は音読みで「きり」が正しい。
金字塔,きんじとう,かねじとう,きんじどう,かねじどう,後世に永く残るような偉大な業績。
琴線,きんせん,ことせん,きんぜん,ことぜん,感動を呼ぶ心の部分。
久遠,くおん,きゅうえん,ひさとお,くえん,永遠のこと。
具眼,ぐがん,つぶがん,ぐげん,ともがん,物事の真価を見抜く確かな眼力があること。
苦言,くげん,にがこと,くごん,にがげん,相手のためを思っていさめる言葉。
奇しくも,くしくも,きしくも,あやしくも,くしくも,不思議にも、偶然にも。奇妙なことに。
具申,ぐしん,ぐもうし,ぐじん,ぐしょう,意見を申し出ること。
果物,くだもの,かぶつ,はてもの,かものの,食用の甘い実・フルーツ。「かぶつ」は誤読で「くだもの」が正しい。
供奉,ぐぶ,きょうほう,ともほう,くほう,行幸などに供として付き従うこと。
水母,くらげ,すいぼ,みずはは,みなははは,海中に漂う傘状の生き物。「すいぼ」は誤読で「くらげ」が正しい。
玄人,くろうと,げんじん,くろひと,もとじん,その道のプロ・専門家のこと。「げんじん」は誤読で「くろうと」が正しい。
薫陶,くんとう,かおりとう,くんどう,かおりどう,優れた人格で人を教育し育てること。
形骸化,けいがいか,かたちがいか,けいからだか,けいけいか,形だけで中身や意味がなくなってしまうこと。
景気,けいき,かげき,けいきき,けいきぎ,経済活動の活気の連動、または様子。
境内,けいだい,さかいうち,きょうない,けいうち,神社・寺院の敷地内のこと。「きょうない」は誤読で「けいだい」が正しい。
競売,けいばい,きょうばい,きょううり,けいうり,せり売り。
稀有,けう,まれゆう,きゆう,まれう,非常に珍しいこと・めったにないほど優れていること。「稀有な才能」などの形で使われる。
外科,げか,そとか,がいか,がいきゃ,手術などの方法で治療する医学分野。「がいか」は誤読で「げか」が正しい。
劇薬,げきやく,げきぐすり,げきらくだ,げきやくく,作用が激しく、使い方を誤ると危険な医薬品。
下衆,げす,げしゅ,しもす,かじゅう,心の卑しい人、下劣な人。身分の低い人。
煙,けむり,けむ,えん,けむり,物が燃えるときに発生する、微粒子を含んだ気体。
懸案,けんあん,かかりあん,けいあん,けんおん,以前から解決されずに残っている問題・課題。「懸案事項」「長年の懸案」の形で使われる。
牽引,けんいん,けいいん,ひきいん,けんびき,引っ張ること。また、物事を主導・先導すること。「経済を牽引する」などの形で使われる。
原因,げんいん,げいいん,もといん,げんよる,ある結果を引き起こすもととなった事柄や理由。
嫌悪,けんお,けんあく,いやお,けんお,不快に感じて強く嫌うこと。憎み嫌う気持ち。
喧噪,けんそう,かまびすそう,かんそう,けんざつ,騒がしくやかましいこと、またその騒音。「都会の喧噪」の形でよく使われる。
言質,げんち,ことしつ,げんしつ,ことち,証拠になる言葉。
鯉,こい,りこ,たいぎょ,かわさかな,淡水魚の一種。観賞用や食用に飼われる。「りこ」は誤読で「こい」が正しい。
好事家,こうずか,こうじか,よきことか,こうずや,風流な事柄を好む人。物好きな人。
業腹,ごうはら,ぎょうはら,わざはら,ごうぶく,非常に腹が立つこと。
心地,ここち,しんじ,こころじ,こころち,気持ち・気分・感じのこと。「しんじ」は誤読で「ここち」が正しい。
古今東西,ここんとうざい,ふるいまことうざい,ここんひがしにし,ふるいまこひがしにし,昔から今まで、そしてあらゆる場所で。
居士,こじ,いし,きょし,いじ,在家のまま仏道に帰依した男性の称。また男性の戒名の下に付ける語。
固執,こしつ,こしゅう,こじつ,かたじつ,自分の意見や考えを頑固に守り変えないこと。「こしゅう」は誤読。
互選,ごせん,たがいせん,ごえらび,たがいえらび,特定のメンバーの中でお互いに投票して選ぶこと。
姑息,こそく,まごそく,こそくく,古い息,根本的な解決をせず、その場しのぎをすること。
木霊,こだま,きだま,もくれい,きれい,山や森で声や音が反響する現象。木に宿る精霊の意味もある。
誇張,こちょう,ほちょう,こちょうう,ほちょうう,大げさに表現すること。
極寒,ごっかん,きょっかん,ごくさむ,きょくかん,この上なく寒いこと。非常に厳しい寒さ。
殊に,ことに,しゅに,とくに,べつに,特に・とりわけという意味の副詞。「殊に優れた作品」などの形で使われる。
菰,こも,か,かやむしろ,すのこ,マコモや藁で編んだむしろ・茣蓙のこと。「か」は誤読で「こも」が正しい。
古文書,こもんじょ,こぶんしょ,ふるもんじょ,こもんしょ,古い時代の公文書や記録。
御用達,ごようたし,おようたつ,ごようつ,おようだつ,特定の人や機関に品物を納めること。「ごようたし」が正しく、「ごようたつ」は誤読として広まっている。
ご利益,ごりやく,ごりえき,お利益,ごりやく,神仏が人間に与える恵み、幸運。
御利益,ごりやく,ごりえき,おんりえき,おりえき,神仏から授かる恵みのこと。
声色,こわいろ,こえいろ,こわいろ,せいしょく,声の調子。また、他人の声の出し方を真似すること。
建立,こんりゅう,けんりつ,こんりつ,けんりゅう,寺院や堂塔を建てること。
遮る,さえぎる,しゃる,さえぎるす,しゃるす,進行や視界を途中で邪魔して止めること。
早乙女,さおとめ,はやおとめ,そうおとめ,さおとご,田植えをする若い女性のこと。また女性の名前にも使われる。
一昨昨日,さきおととい,いっさくさくじつ,さくさくじつ,ひとおととい,おとといの前の日のこと。
錯綜,さくそう,まじれそう,さくしょう,さっそう,複数の物事が入り組んで混乱すること。「情報が錯綜する」などの形で使われる。
蔑む,さげすむ,べつむ,みくだむ,いやしむ,相手を劣ったものとして見下すこと。軽蔑する・馬鹿にする意味。
雑魚,ざこ,ざつぎょ,ざっさかな,ざこさかな,小さな魚・価値の低い小物のこと。「ざつぎょ」は誤読で「ざこ」が正しい。
雑魚寝,ざこね,ざっぎょね,ざこね,じゃこね,狭い場所に多くの人が入り混じって、一つの布団などで一緒に寝ること。
漣,さざなみ,れん,さわさわなみ,こなみ,水面にそっと立つ細かい波。「れん」は音読みで「さざなみ」が正しい。
匙,さじ,し,スプーン,ひとさじ,液体や粉末をすくう道具。「じ」は音読みで「さじ」が正しい。
早急,さっきゅう,そうきゅう,はやきゅう,そっきゅう,非常に急ぐこと。「そうきゅう」も許容されているが、本来の読みは「さっきゅう」。
昨今,さっこん,きのうこん,さくこん,さきこん,近ごろ・最近のこと。「きのうこん」は誤読で「さっこん」が正しい。
刷新,さっしん,あらっしん,さつしん,あたらしん,悪い状態を改めて、まったく新しくすること。
蹉跌,さてつ,つまずきてつ,しゃてつ,さくてつ,物事がうまくいかず失敗・挫折すること。「蹉跌を経験する」などの形で使われる。
茶飯事,さはんじ,ちゃはんじ,ちゃめしごと,さはんこと,日常のありふれたこと。きわめて普通な出来事。
彷徨う,さまよう,ほうこう,うろつく,まよう,あてもなくうろうろと歩き回ること。精神的に迷い続けることも指す。
五月雨,さみだれ,ごがつあめ,さつきあめ,ごつきあめ,梅雨の時期に降り続く長雨のこと。「ごがつあめ」は誤読で「さみだれ」が正しい。
寒気,さむけ,かんき,かんぎ,さびき,体が寒く感じる感覚・悪寒。「かんき」とも読むが「悪寒」の意味では「さむけ」。
暫時,ざんじ,ぜんじ,しばらく,ざんし,しばらくの間、少しの間。わずかな時間を表す語。
斬新,ざんしん,きりしん,さんしん,ざんきん,発想や方法が非常に新鮮で独創的なこと。「斬新なアイデア」の形でよく使われる。
山積,さんせき,やまづみ,さんじゃく,やまづみみ,問題や仕事が山のようにたまっていること。
参内,さんだい,さんない,まいるうち,さんだい,宮中に参上すること。天皇に拝謁するために参内すること。
暫定,ざんてい,しばらくてい,ざんじょう,しばらくじょう,正式に決まるまで、一時的に取り決めること。
恣意,しい,じい,ほしいい,しき,自分の思うままにふるまう気まま・勝手な考え。「恣意的な判断」の形でよく使われる。
直訴,じきそ,ちょくそ,なおそ,じかそ,直接訴えること。
忸怩,じくじ,はじはじ,にくに,じゅくじ,自分の行いを恥ずかしく思う気持ち。「忸怩たる思い」の形で使われる。
時雨,しぐれ,じう,ときあめ,じさめ,晩秋から初冬にかけて降ったりやんだりする雨。「じう」は誤読で「しぐれ」が正しい。
施行,しこう,せこう,しぎょう,せぎょう,実施すること。
嗜好,しこう,たしなみこう,しこうう,たしなみこうう,好んで親しむこと。
示唆,しさ,じさ,しだ,じしゃ,それとなく示すこと。
施策,しさく,せさく,とりさく,せいさく,施す政策・手立て・対策のこと。「少子化対策の施策」などの形で使われる。
市井,しせい,しい,いちい,しせい,人が多く集まり住む所、街、世間。
舌鼓,したつづみ,したづつみ,したつづみ,したぽん,あまりの美味しさに舌を鳴らすこと。「したづつみ」は誤読・慣用。
示談,じだん,しだん,じたん,していだん,話し合いによる解決。
執行,しっこう,しゅうこう,しつこう,せっこう,実施すること。
桎梏,しっこく,てかせ,じっこく,しっかく,手枷・足枷のこと。転じて、自由を束縛するものを指す。「桎梏から解放される」などの形で使われる。
質実剛健,しつじつごうけん,しちじつごうけん,ただじつごうけん,しつじつつよたけ,飾り気がなく真面目で、心身ともにたくましいこと。
執刀,しっとう,しゅっとう,しつとう,しっとうう,手術すること。
疾病,しっぺい,しつびょう,しっびょう,しツやまい,病気のこと。疾患や患い。
執拗,しつよう,ねばりよう,じゅうよう,しつしつ,しつこく粘り強いこと。「執拗に迫る」「執拗な追及」などの形で使われる。
竹刀,しない,たけがたな,ちくとう,たけとう,剣道の稽古に使う竹製の剣。「ちくとう」は誤読で「しない」が正しい。
賜杯,しはい,ちょうはい,ためしはい,しはい,天皇や皇族などから褒美として授けられる杯。
慈悲,じひ,いつくしみ,なさけひ,じび,いつくしんで哀れみをかけること。仏教用語で、衆生を救う心を指す。
飛沫,しぶき,とびまつ,ひまつ,とびしる,液体が細かく飛び散ったもの。「ひまつ」は感染症関連で使われるが「しぶき」が本来の読み。
霜,しも,そう,こおりつゆ,しらしも,気温が下がり地表に凍りついた水分。「そう」は音読みで「しも」が正しい。
諮問,しもん,はかりもん,じもん,しかもん,専門家や機関に意見・答申を求めること。「審議会に諮問する」などの形で使われる。
杓子定規,しゃくしじょうぎ,ひしゃくしじょうぎ,しゃくしていき,ひしゃくしていき,決まりきった基準にこだわり、融通がきかないこと。
借用,しゃくよう,かりよう,しゃくもち,かりもち,物を借りること。
奢侈,しゃし,おごり,しゃしし,おごりもの,必要以上に贅沢をすること。
趣意書,しゅいしょ,しゅみしょ,しゅういしょ,しゅじしょ,目的説明文。
収穫,しゅうかく,しゅうがく,しゅかく,しゅうこく,取り入れ。
収監,しゅうかん,しゅうけん,しゅうがん,しゅかん,刑務所に入れること。
収拾,しゅうしゅう,しゅうじゅう,しゅうひろい,しゅしゅう,まとめること。
収奪,しゅうだつ,しゅうだち,しゅうとつ,しゅうだっ,奪い取ること。
蹂躙,じゅうりん,ふみにじり,ぞうりん,じゅうにん,踏みにじること。人権や規則などを無視して踏みにじる行為。
収斂,しゅうれん,しゅうせん,しゅうかん,しゅうりん,集まること。
