k,c,w1,w2,w3,m
進捗,しんちょく,しんぽ,しんはか,しんちょ,物事が進みはかどること。仕事の「進捗状況」などの形で使われる。
破綻,はたん,はじょう,やぶれたん,はじれつ,計画や事業などが行き詰まり、うまくいかなくなること。
瑕疵,かし,きず,かじ,けっし,欠点・傷・欠陥のこと。法律・不動産の分野で「瑕疵担保責任」などの形で使われる。
齟齬,そご,ぎょご,しょご,くいちがい,物事がうまく噛み合わず、食い違うこと。「齟齬をきたす」の形でよく使われる。
捺印,なついん,おしいん,なつし,さついん,書類に印鑑を押すこと。「押印」と同じ意味。「なついん」が正しい読み。
遵守,じゅんしゅ,そんしゅ,じゅんまもる,ずんしゅ,法律・規則・命令などをよく守ること。「法令遵守」の形で使われる。
逼迫,ひっぱく,きんぱく,せまりはく,ひきはく,事態が差し迫って余裕がなくなること。財政・状況が追い詰められた状態。
乖離,かいり,そむきり,こうり,かいはなれ,二つのものが離れてしまうこと。理想と現実の「乖離」などの形で使われる。
牽引,けんいん,けいいん,ひきいん,けんびき,引っ張ること。また、物事を主導・先導すること。「経済を牽引する」などの形で使われる。
稚拙,ちせつ,わかへた,じせつ,ちしつ,幼稚でつたないこと。技術や文章などが未熟な様子を指す。
貪欲,どんよく,たんよく,むさぼりよく,どんにん,飽くことなく欲しがること。非常に強い欲求・欲望の強さを表す。
諮問,しもん,はかりもん,じもん,しかもん,専門家や機関に意見・答申を求めること。「審議会に諮問する」などの形で使われる。
遺憾,いかん,いざん,のこかん,いごん,期待通りにならず残念に思うこと。「遺憾に思う」「遺憾なく発揮する」などの形で使われる。
跋扈,ばっこ,はびこり,ばつこ,はっこ,勢力を張って思うままに振る舞うこと。「悪がはびこる」の意味で使われる。
逐次,ちくじ,おいおいじ,たくじ,ちゅくじ,順を追って次々と行うこと。「逐次処理」「逐次報告」などの形で使われる。
払拭,ふっしょく,はらいふく,ふっし,はらいしき,すっかり取り除くこと。「不安を払拭する」の形でよく使われる。
精緻,せいち,せいちゅう,くわしち,せいじ,細部まで細かく精密なこと。非常に細かく丁寧に作られた様子を表す。
斬新,ざんしん,きりしん,さんしん,ざんきん,発想や方法が非常に新鮮で独創的なこと。「斬新なアイデア」の形でよく使われる。
矜持,きょうじ,ほこりじ,きんじ,きょうち,自分の能力・価値への誇りや自負心。「プロとしての矜持」などの形で使われる。
詭弁,きべん,ごまかしべん,ぎべん,きべ,見た目は正しそうだが実際は誤った論理・議論。相手をごまかすための巧みな弁論。
捏造,ねつぞう,でつぞう,こねつぞう,ねつくり,実際にないことを事実のように作り上げること。「記事を捏造する」などの形で使われる。
歪曲,わいきょく,いがみきょく,おうきょく,わいくつ,事実を意図的にゆがめること。「事実を歪曲して伝える」などの形で使われる。
剽窃,ひょうせつ,ぬすみせつ,ひょうたつ,びょうせつ,他人の文章・アイデアなどを盗んで自分のものとして使うこと。いわゆる「パクリ」の書き言葉。
蹂躙,じゅうりん,ふみにじり,ぞうりん,じゅうにん,踏みにじること。人権や規則などを無視して踏みにじる行為。
嗚咽,おえつ,なきじゃくり,おいつ,あえつ,声を詰まらせながら泣くこと。悲しみや感動で泣きじゃくる様子。
逡巡,しゅんじゅん,ためらい,じゅんしゅん,せんじゅん,決断できずにためらうこと。「逡巡して一歩が踏み出せない」などの形で使われる。
蹉跌,さてつ,つまずきてつ,しゃてつ,さくてつ,物事がうまくいかず失敗・挫折すること。「蹉跌を経験する」などの形で使われる。
喧噪,けんそう,かまびすそう,かんそう,けんざつ,騒がしくやかましいこと、またその騒音。「都会の喧噪」の形でよく使われる。
忸怩,じくじ,はじはじ,にくに,じゅくじ,自分の行いを恥ずかしく思う気持ち。「忸怩たる思い」の形で使われる。
辟易,へきえき,うんざり,かへき,ひきえき,嫌になってうんざりすること。しつこさや煩わしさに手を焼く様子。
懊悩,おうのう,なやみのう,あおのう,おうなや,悩み苦しむこと。深く思い悩んで胸を痛める状態を表す。
紐帯,ちゅうたい,ひもたい,じゅうたい,つながりたい,人と人、国と国などをつなぐ絆・きずな。「家族の紐帯」などの形で使われる。
贖罪,しょくざい,かうざい,ぞくざい,しょくつみ,自分の犯した罪や過ちをつぐなうこと。キリスト教的文脈でも使われる語。
慄然,りつぜん,ぶるぜん,おそれぜん,りつねん,恐怖や衝撃で体が震えるほどぞっとする様子。「慄然とする光景」などの形で使われる。
葛藤,かっとう,くずふじ,かつどう,かっとん,相反する欲求や感情が心の中でぶつかり合うこと。「内なる葛藤」などの形で使われる。
刹那,せつな,さつな,しゃとな,くさり,非常に短い瞬間・時間。「刹那的な喜び」などの形で使われる。仏教語が語源。
所謂,いわゆる,しょきん,しょい,ところがい,世間一般で言われる・いわゆる、という意味。「所謂エリートというやつだ」などの形で使われる。
即ち,すなわち,そくち,つまり,ただち,言い換えれば・つまり・その場でという意味。接続詞として広く使われる。
概ね,おおむね,がいね,だいたい,かいね,だいたい・おおよそという意味。「概ね良好」「概ね予定通り」などの形で使われる。
殊に,ことに,しゅに,とくに,べつに,特に・とりわけという意味の副詞。「殊に優れた作品」などの形で使われる。
頗る,すこぶる,はなはだ,たいへん,さかんに,非常に・とても・極めてという意味の副詞。「頗る優秀な人材」などの形で使われる。
何卒,なにとぞ,なにそつ,どうか,なんとぞ,どうか・ぜひともという意味の丁寧な依頼表現。手紙文などでよく使われる。
尤も,もっとも,ゆうも,ただし,まこと,確かにその通りという意味、または「ただし」という接続詞としても使われる。
若しくは,もしくは,わかしくは,じゃくしくは,にゃくしくは,または・あるいはという意味の接続詞。法律文書などで「または」と使い分ける。
彷徨う,さまよう,ほうこう,うろつく,まよう,あてもなくうろうろと歩き回ること。精神的に迷い続けることも指す。
慄く,おののく,りつく,ふるえく,おそれく,恐怖や寒さで体が震えること。強い恐れや畏れを感じる様子。
躊躇う,ためらう,ちゅうちょう,とまどう,まよう,決断できずに迷うこと。「躊躇なく行動する」の「躊躇」と同じ字。
嗜む,たしなむ,しむ,このむ,うしなむ,趣味として楽しむ・適度に親しむこと。「お茶を嗜む」「嗜み」などの形で使われる。
逞しい,たくましい,ていしい,つよしい,ちからしい,体・精神が力強くしっかりしている様子。「逞しく育つ」などの形で使われる。
窺う,うかがう,けいう,のぞきう,うかう,そっと見る・様子を観察すること。また機会を待つこと。「隙を窺う」などの形で使われる。
蔑む,さげすむ,べつむ,みくだむ,いやしむ,相手を劣ったものとして見下すこと。軽蔑する・馬鹿にする意味。
憚る,はばかる,たんる,えんりょる,かたる,遠慮する・気がねすること。「人目を憚らず泣く」などの形で使われる。
艶やか,つややか,えんやか,なまめやか,あでやか,なめらかで光沢があり美しい様子。肌・髪・果物などに使われる。
暢気,のんき,ちょうき,のびき,ゆっくり,細かいことを気にせず、おっとりとしている様子。「暢気者」「暢気な性格」の形で使われる。
弄ぶ,もてあそぶ,ろうぶ,いじぶ,ひねぶ,面白半分に扱うこと。人の気持ちや物を軽んじて扱う行為にも使われる。
贖う,あがなう,かうう,つぐのう,かえす,罪・過ちをつぐなうこと。代価を払って罪を清めるという意味。
霞む,かすむ,えんむ,もやむ,うすむ,霞や靄のためにぼんやり見えること。目がかすむ・存在感が薄れるという意味にも使われる。
諦める,あきらめる,ていめる,すてめる,やめる,望みを捨てて断念すること。「諦観」と同じ「諦」の字。仏教語が語源。
恣意,しい,じい,ほしいい,しき,自分の思うままにふるまう気まま・勝手な考え。「恣意的な判断」の形でよく使われる。
稀有,けう,まれゆう,きゆう,まれう,非常に珍しいこと・めったにないほど優れていること。「稀有な才能」などの形で使われる。
執拗,しつよう,ねばりよう,じゅうよう,しつしつ,しつこく粘り強いこと。「執拗に迫る」「執拗な追及」などの形で使われる。
蔑視,べっし,さげすみし,みくだし,へいし,見下すこと・軽蔑して扱うこと。「女性蔑視」「弱者蔑視」などの形で使われる。
杞憂,きゆう,むだゆう,きうれい,もきゆう,取り越し苦労・無用な心配のこと。古代中国の「杞」という国の人が天が落ちてくることを心配した故事から。
悠然,ゆうぜん,のんびりぜん,ゆっくりぜん,ゆうねん,落ち着いてゆったりとしている様子。「悠然と構える」などの形で使われる。
慈悲,じひ,いつくしみ,なさけひ,じび,いつくしんで哀れみをかけること。仏教用語で、衆生を救う心を指す。
施策,しさく,せさく,とりさく,せいさく,施す政策・手立て・対策のこと。「少子化対策の施策」などの形で使われる。
漸次,ぜんじ,じょじ,せんじ,ぜんつぎ,だんだんと・少しずつという意味。「漸次改善される」などの形で使われる。
凡例,はんれい,ぼんれい,ぼんたとえ,はんたとえ,書物・地図などの使い方や記号を説明した部分。「凡例を参照」などの形で使われる。
頑迷,がんめい,がんくら,かためい,がんまい,頑固で道理がわからないこと。「頑迷固陋」という四字熟語でも使われる。
懸案,けんあん,かかりあん,けいあん,けんおん,以前から解決されずに残っている問題・課題。「懸案事項」「長年の懸案」の形で使われる。
兎も角,ともかく,うさぎかく,とりあえず,ともかど,それはさておき・いずれにせよという意味。「兎も角、まずやってみよう」などの形で使われる。
忌憚,きたん,いみたん,きいじ,きだん,遠慮すること。「忌憚のない意見」は「遠慮のない率直な意見」という意味。
危惧,きぐ,あぶくれ,きお,きく,よくない結果になるのではと心配すること。「危惧する」「危惧の念を抱く」の形で使われる。
疎外,そがい,うとがい,しょがい,そとがい,仲間外れにすること・社会や集団から切り離されること。「疎外感」などの形でよく使われる。
錯綜,さくそう,まじれそう,さくしょう,さっそう,複数の物事が入り組んで混乱すること。「情報が錯綜する」などの形で使われる。
逃避,とうひ,にげひ,とうし,のがれひ,現実や困難から逃げること。「現実逃避」「逃避行動」などの形で使われる。
桎梏,しっこく,てかせ,じっこく,しっかく,手枷・足枷のこと。転じて、自由を束縛するものを指す。「桎梏から解放される」などの形で使われる。
蓋然,がいぜん,ふたぜん,かいぜん,がいねん,ある程度の確からしさ・起こりうる可能性のこと。「蓋然性が高い」の形でよく使われる。
諦観,ていかん,あきらめかん,ちかん,たいかん,物事の本質を見通すこと、または迷いなく諦めの境地に達すること。
御用達,ごようたし,おようたつ,ごようつ,おようだつ,特定の人や機関に品物を納めること。「ごようたし」が正しく、「ごようたつ」は誤読として広まっている。
十八番,おはこ,じゅうはちばん,じゅうはっぽん,じゅうやつ,最も得意とする芸や技のこと。歌舞伎の「十八番」に由来し、読みは「おはこ」。
一期一会,いちごいちえ,いっきいちえ,いちきいちえ,いちごいちかい,一生に一度の出会いとして大切にすること。茶道の精神から生まれた言葉。
境内,けいだい,さかいうち,きょうない,けいうち,神社・寺院の敷地内のこと。「きょうない」は誤読で「けいだい」が正しい。
大団円,だいだんえん,だいだんまる,おおだんえん,だいとえん,物語や事件などが丸く収まって終わること。「だんえん」が正しく「だんまる」は誤り。
五月雨,さみだれ,ごがつあめ,さつきあめ,ごつきあめ,梅雨の時期に降り続く長雨のこと。「ごがつあめ」は誤読で「さみだれ」が正しい。
山車,だし,やまくるま,さんしゃ,やまぐるま,祭りで引き回す飾り車のこと。「やまくるま」「さんしゃ」は誤読で「だし」が正しい。
読経,どきょう,よみきょう,とっきょう,どうきょう,お経を声に出して読むこと。「よみきょう」は誤読で「どきょう」が正しい。
境遇,きょうぐう,さかいあい,けいぐう,きょうあい,その人が置かれている生活上の状況・環境のこと。
数珠,じゅず,すうじゅ,かずたま,すうしゅ,仏具の一種で、小さな玉を糸で繋いだもの。「すうじゅ」は誤読で「じゅず」が正しい。
外科,げか,そとか,がいか,がいきゃ,手術などの方法で治療する医学分野。「がいか」は誤読で「げか」が正しい。
産声,うぶごえ,さんごえ,うまれごえ,うぶこえ,赤ちゃんが生まれた直後に発する最初の泣き声。「さんごえ」は誤読。
気骨,きこつ,きほね,けいこつ,きぼね,自分の信念を貫く強い精神力・意気地。「きほね」は誤読で「きこつ」が正しい。
手練,てだれ,てれん,しゅれん,てのれん,技術や経験が非常に優れていること・その人物。「てれん」は別の意味もある。
出生,しゅっしょう,でうまれ,しゅっせい,でしょう,生まれること・生まれ。戸籍用語としては「しゅっしょう」が正式。
七夕,たなばた,しちせき,ななゆう,なのかゆう,7月7日の行事で織姫と彦星が年に一度会う伝説に基づく。「しちせき」は音読みで「たなばた」が一般的。
足袋,たび,そくたい,あしぶくろ,あしたい,和装に使う布製の履物。「そくたい」は誤読で「たび」が正しい。
白髪,しらが,はくはつ,しろかみ,しろがみ,色素が抜けた白い髪の毛。「しらが」が和語の読み、「はくはつ」は漢語読み。
時雨,しぐれ,じう,ときあめ,じさめ,晩秋から初冬にかけて降ったりやんだりする雨。「じう」は誤読で「しぐれ」が正しい。
波紋,はもん,なみもん,はぶん,はばん,水面に広がる同心円状の波。また、社会に広がる影響を指す。
寒気,さむけ,かんき,かんぎ,さびき,体が寒く感じる感覚・悪寒。「かんき」とも読むが「悪寒」の意味では「さむけ」。
日和,ひより,にちわ,にっわ,にちゆう,空模様・天気の具合のこと。「にちわ」は誤読で「ひより」が正しい。
河岸,かし,かわぎし,かがん,がし,川の岸辺、または魚市場のこと。「かわぎし」は別読みだが「かし」が慣用的。
波止場,はとば,なみとば,はしば,なみどば,船が停泊し荷物の積み降ろしをする所。「なみとば」は誤読で「はとば」が正しい。
行方,ゆくえ,いきかた,こうほう,ゆきがた,向かう先・所在・消息のこと。「こうほう」は誤読で「ゆくえ」が正しい。
若人,わこうど,わかびと,じゃくじん,わかひと,若者・青年のこと。「わかびと」「じゃくじん」は誤読で「わこうど」が正しい。
居士,こじ,いし,きょし,いじ,在家のまま仏道に帰依した男性の称。また男性の戒名の下に付ける語。
一昨日,おととい,いちさくじつ,いちさくにち,ひとつきのう,今日の2日前のこと。漢字の音読みで「いちさくじつ」と読みがちだが「おととい」が正しい。
明後日,あさって,みょうごにち,あけごにち,あしたあした,今日の2日後のこと。「みょうごにち」は音読みで「あさって」が正しい。
昨今,さっこん,きのうこん,さくこん,さきこん,近ごろ・最近のこと。「きのうこん」は誤読で「さっこん」が正しい。
草鞋,わらじ,くさあし,そうかい,くさぐつ,わらで編んだ履物。「そうかい」「くさあし」は誤読で「わらじ」が正しい。
飛沫,しぶき,とびまつ,ひまつ,とびしる,液体が細かく飛び散ったもの。「ひまつ」は感染症関連で使われるが「しぶき」が本来の読み。
木綿,もめん,きわた,もくめん,もくわた,綿花から作られる繊維・布地。「もくめん」は誤読で「もめん」が正しい。
上手,じょうず,かみて,うえて,うわて,技術がすぐれていること。舞台用語では「かみて」と読む場合もある多読み語。
下手,へた,しもて,したて,しもで,技術が劣っていること。舞台用語では「しもて」、謙遜語では「したて」とも読む。
紅葉,もみじ,こうよう,べにば,くれないは,秋に木の葉が赤や黄色に変わること。「こうよう」も正しいが木の種類としては「もみじ」。
土産,みやげ,どさん,つちうまれ,どうさん,旅先などから持ち帰る贈り物。「どさん」は誤読で「みやげ」が正しい。
師走,しわす,しそう,しばしり,しうす,旧暦12月・現代では12月の別名。僧侶が東西に走り回るほど忙しい月という説がある。
睦月,むつき,もくつき,しんげつ,むつかつき,旧暦1月の別名。人々が打ち解け「むつびあう」月という意味。
弥生,やよい,いやおい,みつき,よもき,旧暦3月の別名。草木がいよいよ生い茂る月という意味。
神無月,かんなづき,しんなしつき,かみなしつき,かんなつき,旧暦10月の別名。出雲大社に全国の神が集まるため各地に神がいなくなる月。
小豆,あずき,しょうず,こまめ,おまめ,赤い小粒の豆。和菓子の餡に使われる。「しょうず」「こまめ」は誤読。
海苔,のり,かいたい,うみくさ,うみのり,食用の藻類を干したもの。「かいたい」は誤読で「のり」が正しい。
玄人,くろうと,げんじん,くろひと,もとじん,その道のプロ・専門家のこと。「げんじん」は誤読で「くろうと」が正しい。
素人,しろうと,そじん,すひと,しろひと,その道の専門でない人・未経験者。「そじん」は誤読で「しろうと」が正しい。
仲人,なこうど,なかにん,ちゅうじん,なかびと,結婚の仲介をする人。「ちゅうじん」は誤読で「なこうど」が正しい。
心地,ここち,しんじ,こころじ,こころち,気持ち・気分・感じのこと。「しんじ」は誤読で「ここち」が正しい。
名残,なごり,みょうさん,なのこり,なごろ,別れの名残・物事が終わった後に残る余韻。「みょうさん」は誤読。
田舎,いなか,でんしゃ,たいなか,たいなわ,都市から離れた自然豊かな地方。「でんしゃ」は誤読で「いなか」が正しい。
行脚,あんぎゃ,いきあし,こうきゃく,こうあし,各地を歩き回ること。もとは修行僧が諸国を巡ること。「いきあし」は誤読。
果物,くだもの,かぶつ,はてもの,かものの,食用の甘い実・フルーツ。「かぶつ」は誤読で「くだもの」が正しい。
木霊,こだま,きだま,もくれい,きれい,山や森で声や音が反響する現象。木に宿る精霊の意味もある。
早乙女,さおとめ,はやおとめ,そうおとめ,さおとご,田植えをする若い女性のこと。また女性の名前にも使われる。
乙女,おとめ,おつじょ,いつめ,いちじょ,年若い女性・少女のこと。「おつじょ」は誤読で「おとめ」が正しい。
吹雪,ふぶき,ふうゆき,すいせつ,すいゆき,激しい風に雪が吹き飛ばされる現象。「すいせつ」は誤読で「ふぶき」が正しい。
竹刀,しない,たけがたな,ちくとう,たけとう,剣道の稽古に使う竹製の剣。「ちくとう」は誤読で「しない」が正しい。
雪崩,なだれ,ゆきくずれ,せつほう,ゆきなだ,山の斜面に積もった雪が崩れ落ちる現象。「ゆきくずれ」は誤読で「なだれ」が正しい。
黄昏,たそがれ,こうこん,きたそ,きこん,夕暮れ時・薄暗くなる時刻。転じて物事の衰退期を指す。「こうこん」は誤読。
凸凹,でこぼこ,とつおう,とつぼこ,でこうお,表面が平らでなく出っ張りやへこみがある様子。「とつおう」は音読み。
雑魚,ざこ,ざつぎょ,ざっさかな,ざこさかな,小さな魚・価値の低い小物のこと。「ざつぎょ」は誤読で「ざこ」が正しい。
足跡,あしあと,そくせき,あしあと,あしせき,人や動物が歩いた跡。業績の意味では「そくせき」とも読む。
水母,くらげ,すいぼ,みずはは,みなははは,海中に漂う傘状の生き物。「すいぼ」は誤読で「くらげ」が正しい。
海豚,いるか,かいとん,うみぶた,かいぶた,水生哺乳類の一種。「かいとん」は誤読で「いるか」が正しい。
河豚,ふぐ,かぶた,かわぶた,かわとん,毒を持つ海水魚の一種。「かわぶた」は誤読で「ふぐ」が正しい。
海老,えび,かいろう,うみおや,うみおいろ,甲殻類の一種。「かいろう」は誤読で「えび」が正しい。
蝸牛,かたつむり,かぎゅう,うずまきむし,かいむし,陸生の巻き貝の一種。「かぎゅう」は音読みで「かたつむり」が訓読み。
蜻蛉,とんぼ,せいれい,とんぼう,せいろう,昆虫の一種。また「かげろう」とも読む。「せいれい」は誤読。
百舌,もず,ひゃくぜつ,ものまね,もうぜつ,小型の猛禽類の鳥。さまざまな鳥の声を真似ることから「百の舌」。
鶯,うぐいす,おう,はるどり,きどり,春に「ホーホケキョ」と鳴く鳥。「おう」は誤読で「うぐいす」が正しい。
鰐,わに,がく,かわかみ,おおとかげ,熱帯の大型爬虫類。「がく」は音読みで「わに」が正しい。
鯉,こい,りこ,たいぎょ,かわさかな,淡水魚の一種。観賞用や食用に飼われる。「りこ」は誤読で「こい」が正しい。
蛍,ほたる,けい,ひかりむし,ようこう,夜に発光する昆虫。「けい」は音読みで「ほたる」が正しい。
蝶,ちょう,てふ,ちょうちょ,ひら,鱗翅目の昆虫。古語では「てふ」と書いた。
蜂,はち,ほう,さしむし,とびむし,毒針を持つ昆虫の一種。「ほう」は音読みで「はち」が正しい。
椿,つばき,ちん,はるのはな,とうかはな,常緑樹で冬から春に花を咲かせる。「ちん」は誤読で「つばき」が正しい。
藤,ふじ,とう,のはな,むらさきのはな,紫色の花を咲かせるつる性の植物。「とう」は音読み。
楓,かえで,ふう,もみじき,あきのき,秋に紅葉する落葉樹。「ふう」は別種（フウ）の音読みで混同されやすい。
柊,ひいらぎ,しゅう,いがき,とげき,葉に鋭いトゲを持つ常緑樹。「しゅう」は誤読で「ひいらぎ」が正しい。
檜,ひのき,かい,ひきのき,ひのちき,日本の代表的な針葉樹で建材として有名。「かい」は誤読で「ひのき」が正しい。
樫,かし,しゅう,かたき,かしわき,硬い材木が取れる常緑広葉樹。「しゅう」は誤読で「かし」が正しい。
梅雨,つゆ,ばいう,うめあめ,うめゆ,6月ごろに続く長雨の時期。「ばいう」は漢語読み、「つゆ」が日本語読み。
露,つゆ,ろ,しずく,あめつぶ,朝に草などに付く水滴。「ろ」は音読み。「したたり落ちる」意味でも使われる。
霜,しも,そう,こおりつゆ,しらしも,気温が下がり地表に凍りついた水分。「そう」は音読みで「しも」が正しい。
嵐,あらし,らん,かぜあめ,おおかぜ,激しい風雨のこと。「らん」は音読みで「あらし」が正しい。
凪,なぎ,てい,かぜなし,しずかうみ,風がやんで波が静まった状態。「てい」は誤読で「なぎ」が正しい。
漣,さざなみ,れん,さわさわなみ,こなみ,水面にそっと立つ細かい波。「れん」は音読みで「さざなみ」が正しい。
渦,うず,か,まきなみ,まわりなみ,水や空気が回転する流れ。「か」は音読みで「うず」が正しい。
淀,よど,てん,たまりみず,ながれとまり,流れが止まって水が溜まること・地名にも使われる。「てん」は誤読で「よど」が正しい。
澱,おり,でん,にごりしたに,しずみ,液体の底に沈んだ不純物・沈殿物。「でん」は音読みで「おり」が正しい。
巌,いわお,がん,おおいわ,けわしいいわ,大きく険しい岩のこと。「がん」は音読みで「いわお」が正しい。
礫,つぶて,れき,こいし,なげいし,小石・石ころ。投げる石の意味もある。「れき」は音読み。
芥,あくた,かい,ごみ,くず,ごみ・くず・価値のないものの意。「かい」は音読みで「あくた」が正しい。
塵,ちり,じん,ほこり,こなごみ,非常に細かいほこり・ごみ。「じん」は音読み。
藁,わら,こう,いねがら,かんそうくさ,稲などの穀物の茎を乾燥させたもの。「こう」は誤読で「わら」が正しい。
菰,こも,か,かやむしろ,すのこ,マコモや藁で編んだむしろ・茣蓙のこと。「か」は誤読で「こも」が正しい。
畝,うね,ほ,たがやしみち,はたけすじ,田畑に土を盛り上げて作る列状の部分。「ほ」は面積の単位としての読み。
鎌,かま,れん,かりみ,かりき,草や稲を刈り取る刃物。「れん」は誤読で「かま」が正しい。
鑿,のみ,さく,ほりどうぐ,きりき,木や石を彫る工具。「さく」は音読みで「のみ」が正しい。
錐,きり,すい,とがりどうぐ,あなあけ,穴をあける先のとがった工具。「すい」は音読みで「きり」が正しい。
箸,はし,ちょ,たべもの,しょくじき,食事に使う細長い棒状の道具。「ちょ」は音読みで「はし」が正しい。
匙,さじ,し,スプーン,ひとさじ,液体や粉末をすくう道具。「じ」は音読みで「さじ」が正しい。
暖簾,のれん,だんれん,あたためとばり,おんとばり,商店の入口に垂らす布製の仕切り。「だんれん」は誤読で「のれん」が正しい。
煙草,たばこ,えんそう,けむりくさ,たばご,葉を乾燥させて吸う嗜好品。「えんそう」は誤読で「たばこ」が正しい。
硫黄,いおう,りゅうおう,きいし,きせき,黄色い非金属元素。「りゅうおう」は誤読で「いおう」が正しい。
雰囲,ふんい,ふいん,あんい,ほうい,ある場所全体に漂う気配・ムード（「雰囲気」の略ではない単語として）。
欠伸,あくび,けっしん,かけのび,かけのばし,眠いときや退屈なときに口を大きく開けて息を吐く動作。「けっしん」は誤読で「あくび」が正しい。
微塵,みじん,びじん,ちいさじん,びちり,非常に細かい粒・ごくわずかのこと。「びじん（美人）」とは異なる語。
不貞腐れる,ふてくされる,ふていくされる,ふてぐされる,ふてくさる,不満や反抗心から投げやりな態度をとること。「ふていくされる」は誤読。
五月蝿い,うるさい,さつきはえい,ごがつばえい,ごばえしい,騒がしい・やかましいこと。当て字で「うるさい」と読む難読語。
可笑しい,おかしい,かわらしい,かおかしい,かしおかしい,滑稽で笑えること、または不思議でおかしいこと。
一段落,いちだんらく,ひとだんらく,いちだんおち,ひとだんおち,区切りがつくこと
他人事,ひとごと,たにんごと,ほかびとごと,たじんごと,自分に関係ないこと
月極,つきぎめ,げっきょく,つききわめ,げつぎめ,月単位の契約
相応しい,ふさわしい,そうおうしい,あいおうしい,そうわしい,釣り合っている
相槌,あいづち,そうつい,あいづつ,そうづち,会話で打つ受け答え
貼紙,はりがみ,ちょうし,てんし,はりし,貼り付けた紙
訃報,ふほう,とほう,ふうほう,ほふう,死亡の知らせ
凡庸,ぼんよう,はんよう,ぼんゆう,ぼんようう,平凡なこと
凡人,ぼんじん,はんじん,ぼんにん,ぼうじん,普通の人
琴線,きんせん,ことせん,きんぜん,ことぜん,感動を呼ぶ心の部分
脈絡,みゃくらく,みゃくらく,ばくらく,みょうらく,つながり
既存,きそん,がいそん,きぞん,きしょう,以前から存在すること
既出,きしゅつ,がいしゅつ,きで,きだし,すでに出たもの
一応,いちおう,いっちょう,いちよう,ひとおう,ひとまず
一括,いっかつ,ひとかつ,いちかつ,いっこう,まとめて扱うこと
受諾,じゅだく,じゅたく,うけだく,じゅらく,受け入れること
快諾,かいだく,かいらく,かいたく,けだく,気持ちよく承諾すること
承諾,しょうだく,しょうらく,じょうだく,しょうとく,同意すること
委託,いたく,いしょく,いいたく,いたっく,任せること
措置,そち,しょち,さち,そうち,必要な処置
措辞,そじ,しょじ,さじ,そうじ,言葉遣い
頻繁,ひんぱん,びんぱん,ひんばん,びんばん,たびたび起こること
頻出,ひんしゅつ,びんしゅつ,ひんで,びんで,よく現れること
未曽有,みぞう,みそうゆう,みそう,みぞゆう,今までにないこと
凡退,ぼんたい,はんたい,ぼんてい,ぼうたい,平凡なアウト
廉価,れんか,けんか,れんが,れんけ,安価なこと
廉潔,れんけつ,けんけつ,れんきつ,れんかつ,清廉なこと
寸暇,すんか,そんか,すんげ,すんが,わずかな空き時間
寸評,すんぴょう,そんぴょう,すんびょう,すんひょう,短い評価
画一,かくいつ,がいち,かいち,がかつ,一様にそろえること
画期的,かっきてき,がきてき,かくきてき,がっきてき,非常に新しいこと
貼替,はりかえ,てんかえ,ちょうかえ,はりがえ,貼り替えること
輸出,ゆしゅつ,ゆうしゅつ,しゅしゅつ,ゆで,国外へ売ること
