一段落,いちだんらく,ひとだんらく,いちだんおち,ひとだんおち,区切りがつくこと
内包,ないほう,うちづつみ,ないぽう,ないよう,含み持つこと
外套,がいとう,そとう,がいとうう,そとぎ,コート
凡百,ぼんぴゃく,はんぴゃく,ぼんびゃく,ぼんひゃく,多くの平凡なもの
拝読,はいどく,はいよみ,おがみどく,はいとく,読むことの謙譲語
拝見,はいけん,はいみ,おがみけん,はいげん,見ることの謙譲語
進言,しんげん,すすみげん,しんごん,しんけん,意見を述べること
具申,ぐしん,ぐもうし,ぐじん,ぐしょう,意見を申し出ること
直訴,じきそ,ちょくそ,なおそ,じかそ,直接訴えること
進呈,しんてい,しんてつ,すすみてい,しんじょう,贈ること
寄贈,きぞう,きそう,よせぞう,きじょう,贈り与えること
贈呈,ぞうてい,そうてい,ぞうじょう,おくりてい,贈ること
返戻,へんれい,へんもどり,へんろ,へんとう,返却すること
示唆,しさ,じさ,しだ,じしゃ,それとなく示すこと
示談,じだん,しだん,じたん,していだん,話し合いによる解決
趣旨,しゅし,しゅうし,しゅじ,しゅいし,主な内容
趣向,しゅこう,しこう,しゅごう,しゅきょう,工夫や趣味
鳥瞰,ちょうかん,とりかん,ちょうがん,とりみ,全体を見渡すこと
俯瞰,ふかん,うかん,ふがん,ふみ,高所から見下ろすこと
概説,がいせつ,がいぜつ,かいせつ,がいしょう,大まかな説明
概況,がいきょう,かいきょう,がいこう,がいじょう,全体の様子
概算,がいさん,かいさん,がいざん,かいざん,おおよその計算
汎用,はんよう,ぼんよう,はんゆう,ひろよう,広く使えること
汎化,はんか,ぼんか,はんげ,ひろか,一般化すること
脅威,きょうい,きょううい,おどしい,きょうえ,おびやかす力
脅迫,きょうはく,きょうばく,おどしはく,きょうぱく,脅して迫ること
埋没,まいぼつ,うもつ,まいもつ,うめぼつ,埋もれること
埋蔵,まいぞう,うめぞう,まぞう,まいそう,埋めて保存すること
履歴,りれき,ふくれき,りりゃく,りせき,過去の記録
履修,りしゅう,ふしゅう,りしょう,りじゅう,学習課程を修めること
重宝,ちょうほう,じゅうほう,しげたから,じゅほう,便利で役立つこと
音声,おんせい,おんしょう,ねごえ,おとごえ,声や音
発足,ほっそく,はっそく,はつそく,ほつそく,組織などが始まること
発起,ほっき,はっき,はつき,ほき,計画を起こすこと
発祥,はっしょう,ほっしょう,はつしょう,ほしょう,物事の始まり
輪郭,りんかく,わかく,りんがく,りんこく,外形の線
輪廻,りんね,わね,りんかい,りんえ,生まれ変わり
収拾,しゅうしゅう,しゅうじゅう,しゅうひろい,しゅしゅう,まとめること
収奪,しゅうだつ,しゅうだち,しゅうとつ,しゅうだっ,奪い取ること
閲覧,えつらん,けつらん,えらん,えつみ,見ること
閲歴,えつれき,けつれき,えつりゃく,えつれつ,経歴
偏重,へんちょう,へんじゅう,かたよりちょう,へんしょう,一方に偏ること
偏見,へんけん,へんみ,かたよりけん,へんげん,先入観
既婚,きこん,がいこん,きごん,きけん,結婚していること
未婚,みこん,びこん,みごん,みけん,結婚していないこと
難色,なんしょく,なんいろ,だんしょく,なんじき,気が進まない様子
難航,なんこう,だんこう,なんごう,なんぎょう,順調に進まないこと
難儀,なんぎ,だんぎ,なんぎょう,なんき,苦労すること
依怙地,いこじ,いこうち,いこんじ,いごじ,意地を張ること
強靭,きょうじん,きょうせい,ごうじん,きょうにん,強くしなやかなこと
脈々,みゃくみゃく,みゃくばく,ばくばく,みゃくやく,絶えず続くこと
漸増,ぜんぞう,ざんぞう,ぜんそう,せんぞう,少しずつ増えること
漸減,ぜんげん,ざんげん,ぜんかん,せんげん,少しずつ減ること
把握,はあく,はにぎり,ばあく,はわく,しっかり理解すること
踏襲,とうしゅう,ふしゅう,とうしょう,ふとう,前例を受け継ぐこと
