漢字,ただしい読み,間違った読み1,間違った読み2,間違った読み3,意味
声色,こわいろ,こえいろ,こわいろ,せいしょく,声の調子。また、他人の声の出し方を真似すること。
体裁,ていさい,たいさい,たいさい,ていざい,外から見た様子、格好、世間体。書類などのレイアウトや体裁。
委嘱,いしょく,いぞく,いしょく,いしょく,特定の仕事や業務を、外部の人に頼んで任せること。
訃報,ふほう,けいほう,ふぽう,しらせ,死去、死亡の知らせ。悲報。
乳離れ,ちばなれ,ちちばなれ,にゅうばなれ,ちちばな,幼児が母乳を飲むのをやめること。また、親から精神的に自立すること。
河川敷,かせんしき,かせんじき,かわじき,かせんふ,常時水が流れている区域の外側にある、平らな土地や敷地。
黙示録,もくしろく,もくじろく,もくしろく,黙示,キリスト教における、世界の終末と最後の審判を記した書物。隠された真実の開示。
一段落,いちだんらく,ひとだんらく,ひとらく,いちらく,仕事や物事が一区切りついて、ひとまず落ち着くこと。
茨城,いばらき,いばらぎ,いばらしき,いばらき,関東地方にある県名の一つ。
所以,ゆえん,しょい,しょい,ゆえ,理由、わけ、根拠。～となる理由。
相殺,そうさい,そうさつ,あいさつ,そうさい,互いの貸し借りを差し引いて帳消しにすること。利害や効果を消し合うこと。
供奉,ぐぶ,きょうほう,くぶ,きょうぶ,天皇や皇族の行幸などの際、お供をして従うこと。
端役,はやく,たんやく,はしやく,はやく,演劇や映画などで、重要性の低い重要でない役。重要性の低い役割。
身重,みおも,しんじゅう,みのしげ,みじゅう,女性が妊娠していること。お腹に子どもがいて体が重い状態。
生粋,きっすい,なまいき,きすい,なますい,混じり気が全くないこと。純粋なその土地生まれなど。
意訳,いやく,いわけ,いしき,いしき,外国語の言葉の表面的な意味にとらわれず、全体の意味をくみとって翻訳すること。
反故,ほご,はんご,ほうご,ほこ,役に立たなくなった紙。約束や取り決めをなかったことにすること。
境内,けいだい,きょうない,けいない,けいだち,神社や寺院の敷地、領内のこと。
賜杯,しはい,ちょうはい,ためしはい,しはい,天皇や皇族などから褒美として授けられる杯。
間髪,かんはつ,かんばつ,あいだかみ,かんぱつ,（間髪を入れず）間に髪の毛1本を入れる隙間もないほど、ただちに、即座に。
未曽有,みぞう,みぞうゆう,みぞう,いままで一度も起こったことがないような珍しい出来事。,
諸刃の剣,もろはのつるぎ,もろはのけん,しょはのけん,もろはのつるぎ,一方では非常に役に立つが、他方では大きな害を受ける危険もあるものの例え。
大舞台,おおぶたい,だいぶたい,だいステージ,おおステージ,重要な活躍の場、実力を発揮する大きな晴れの舞台。
一切,いっさい,いっせつ,ひとくち,いっさい,全部、すべて。または（下に打ち消しの語を伴って）まったく、少しも。
因縁,いんねん,いんえん,ちなみに,いんゆかり,物事が生じる直接の因と間接の縁。宿命や因縁、言いがかり。
横溢,おういつ,おうえき,よこあふれ,よこいつ,水などがみなぎりあふれること。元気や才能などが満ちあふれている様子。
怨念,おんねん,えんねん,うらみねん,おんねん,強い恨みのこもった一念。深く根に持った怨み。
侠客,きょうかく,きょうきゃく,おとこだて,きょうかく,強きを挫き、弱きを助けることを旨とした、昔の無法者・おとこだて。
下衆,げす,げしゅ,しもす,かじゅう,心の卑しい人、下劣な人。身分の低い人。
手水,ちょうず,てみず,てすい,しゅすい,神仏にお参りする前に、手や口を洗い清める水。またはその行為。
極寒,ごっかん,きょっかん,ごくさむ,きょくかん,この上なく寒いこと。非常に厳しい寒さ。
茶飯事,さはんじ,ちゃはんじ,ちゃめしごと,さはんこと,日常のありふれたこと。きわめて普通な出来事。
煙,けむり,けむ,えん,けむり,物が燃えるときに発生する、微粒子を含んだ気体。
奇しくも,くしくも,きしくも,あやしくも,くしくも,不思議にも、偶然にも。奇妙なことに。
小暗い,おぐらい,こぐらい,ちいさくらい,しょうくらい,何となく薄暗い、少し暗い様子。
心恋しい,うらがなしい,こころかなしい,しんこいしい,うらこいしい,何となく心が寂しく、慕わしく思われる。※画像「心恋しい」正解「うらがなしい」は古語的な表現。
意気地,いくじ,いきじ,いきち,い気地,物事をやり遂げようとする気力、根性。
一世代,いっせだい,いっせいいちだい,ひとせだい,いちじだい,人が生まれてから親になるまでの約30年間。また、あるひとつの時代。
一見さん,いちげんさん,いっけんさん,ひとみさん,いちみさん,紹介などのない、初めての馴染みのない客のこと。
活魚,いけうお,かつぎょ,いきうお,いきぎょ,生きている魚。料理の直前まで生かしておく魚。
押捺,おうなつ,おうな,おしなつ,おうだつ,印鑑や指紋を押すこと。
完遂,かんすい,かんつい,まるつい,かんすい,物事を最後まで完全にやり遂げること。
行年,ぎょうねん,こうねん,ゆきとし,あんねん,この世に生きていた年数。享年。亡くなったときの年齢。
頌春,しょうしゅん,こうしゅん,ほめはる,しょうはる,新年を褒めたたえ、祝うこと。年賀状の賀詞。
逐次,ちくじ,ついじ,おって,ちくし,順を追って次々に行う様子。順次に。
嫡子,ちゃくし,てきし,嫡子,ちゃくし,正妻の産んだ最初の子。家督を継ぐべき子。
雑魚寝,ざこね,ざっぎょね,ざこね,じゃこね,狭い場所に多くの人が入り混じって、一つの布団などで一緒に寝ること。
ご利益,ごりやく,ごりえき,お利益,ごりやく,神仏が人間に与える恵み、幸運。
好事家,こうずか,こうじか,よきことか,こうずや,風流な事柄を好む人。物好きな人。
気っ風,きっぷ,きっぷう,きのかぜ,きっぷ,気性、気立て。特に、さっぱりとして思い切りのよい江戸っ子的な気質。
今際の際,いまわのきわ,いまわのさい,いまぎわのさい,いまわのとき,臨終のとき、死に際、息を引き取る直前。
上手,かみて,うわて,じょうず,じょうしゅ,舞台の客席から見て右側のこと。また、位置が高い方。
運否天賦,うんぷてんぷ,うんびてんぷ,うんぷてんぶ,うんふてんぷ,人の運命は天に任せるしかないということ。一か八かの運試し。
市井,しせい,しい,いちい,しせい,人が多く集まり住む所、街、世間。
舌鼓,したつづみ,したづつみ,したつづみ,したぽん,あまりの美味しさに舌を鳴らすこと。「したづつみ」は誤読・慣用。
定石,じょうせき,ていせき,さだめいし,じょういし,囲碁で、昔から研究されている最善とされる決まった打ち方。物事の定番の手順。
進捗,しんちょく,しんしょう,しんぽ,しんちょく,物事が順調にはかどり、前に進むこと。進行具合。
脆弱,ぜいじゃく,きじゃく,よわよわしい,ぜいじゃく,もろくて弱いこと。身体や組織、システムなどが不完全な様子。
相好,そうごう,そうこう,あいこう,そうごう,顔の表情、顔立ち。（相好を崩す：顔をほころばせて喜ぶ）
台頭,たいとう,だいとう,だいあたま,たいず,勢力を増して、表面に現れてくること。頭角を現すこと。
塩梅,あんばい,えんばい,しおうめ,えんべい,料理の味加減、物事の具合や加減、身体の調子。
伝播,でんぱ,でんばん,つたわり,でんぱ,広く伝わり、広がっていくこと。波動や文化などが他に広まること。
如実,にょじつ,じょじつ,ごとじつ,にょじつ,実際の通りであること、ありのまま、生き生きとしている様子。
凡例,はんれい,ぼんれい,なみれい,はんれい,書物の初めに、その編纂の方針や利用の仕方を箇条書きにしたもの。
平生,へいぜい,へいせい,ひらなま,へいじょう,ふだん、いつも、平素。日常の様子。
数寄屋,すきや,すうきや,かずきや,すきや,茶室風に造った建物、風流な意匠の家。
清々しい,すがすがしい,きよきよしい,さわやか,すがすがしい,さわやかで気持ちが良い、汚れがなく心地よい様子。
上意下達,じょういかたつ,げだつ,じょういげたつ,じょういかだつ,上の者の意思や命令を、下の者へ確実に伝えること。
参内,さんだい,さんない,まいるうち,さんだい,宮中に参上すること。天皇に拝謁するために参内すること。
精進,しょうじん,せいしん,しょうしん,せいじん,一つの物事に精神を集中して励むこと。肉食を断ち身を清めること。
性悪,しょうわる,せいあく,さがわる,しょうあく,性質や性格が悪いこと。ひねくれていること。
清拭,せいしき,せいしょく,きよぶき,せいしき,病気などで入浴できない人の体を、温かいタオルなどで拭いて清潔にすること。
殺生,せっしょう,せっせい,ころし,さつしょう,生き物を殺すこと。または、むごいこと、気の毒なこと。
遡行,そこう,さくこう,さかのぼり,そぎょう,流れをさかのぼって行くこと。物事の過去にさかのぼって調べること。
凋落,ちょうらく,しゅうらく,おちぶれ,ちょうらく,勢いが衰えて落ちぶれること。花や葉がしぼんで落ちること。
釣瓶,つるべ,つりべ,つるべ,つりびん,井戸から水を汲み上げるための、縄をつけた桶。
貪欲,どんよく,ひんよく,たんよく,どんよく,非常に欲が深いこと。また、知識などを強く求める様子。
万全,ばんぜん,まんぜん,よろずぜん,ばんぜん,少しの手落ちもない、完璧で絶対に安全な様子。
日和,ひより,にちわ,ひわ,にちより,空模様、天気。また、物事をするのに都合のよい天気。
末期,まつご,まっき,すえき,まつご,人間の死に際、最期のこと。※画像「末期(の水)」は「まつごの水」。
大勢,たいせい,おおぜい,だいぜい,たいせい,物事の全体の形勢、大きな流れ。※画像「大勢(が決まる)」は「たいせい」。
追従,ついしょう,ついじゅう,おいしたがい,ついしょう,他人の意見にそのまま従うこと。こびへつらうこと。※画像「追従(を言う)」は「ついしょう」。
名代,なだい,みょうだい,めいだい,なだい,評判が高いこと、有名であること。または代理人のこと。※画像「名代(の店)」は「なだい」。
