k,c,w1,w2,w3,m
洗礼,せんれい,あらいれい,せんらい,せんれつ,キリスト教の入信儀式、または最初の試練。
相好,そうごう,そうこう,あいこう,あいごう,表情や顔立ちのこと。
相応,そうおう,あいおう,そうおうう,あいおうう,ふさわしいこと。
他人事,たにんごと,ひとごと,たにんじ,ひとじ,自分に関係のないこと。「ひとごと」が本来の読み。
大衆,たいしゅう,だいしゅう,おおしゅう,たいしゅうう,一般の民衆。
知悉,ちしつ,ちこと,ししつ,ちしつう,知り尽くすこと。
貼紙,はりがみ,ちょうし,てんぷし,ちょうがみ,壁などに貼る紙。「ちょうし」は誤読。
直訴,じきそ,ちょくそ,なおそ,じきそす,手続きを踏まずに直接目上の人に訴えること。
追従,ついじゅう,ついしょう,おいじゅう,おいしたがう,他人の後に従うこと。「ついしょう」はへつらうこと。
定石,じょうせき,ていせき,さだいし,ていいし,囲碁の決まった打ち方、または物事の定番の方法。
天下逸品,てんかいっぴん,てんかいつぴん,てんげいっぴん,てんかいちひん,世の中に並ぶものがないほど優れた品。
転変,てんぺん,てんべん,ころへん,てんへん,移り変わること。
土壇場,どたんば,つちだんば,どだんば,つちたんば,決断を迫られる最後の場面。
踏襲,とうしゅう,ふみしゅう,とうしゅうう,ふみつぎ,前人のやり方をそのまま受け継ぐこと。
読経,どきょう,どっけい,よみきょう,どくきょう,お経を声に出して読むこと。
突風,とっぷう,つきかぜ,とつふう,つきぷう,急に激しく吹く風。
内裏,だいり,ないり,うちり,だいりい,皇居、またはお雛様の男雛と女雛。
難航,なんこう,むずこう,なんこうう,かたこう,障害が多くて進行が遅れること。
日和,ひより,にちわ,ひわ,にちより,天候、または物事をするのに都合の良い天気。
博学,はくがく,ばくがく,ひろがく,はっがく,広い分野の知識を持っていること。
破綻,はたん,はじょう,やぶじょう,はてい,物事が成り立たなくなること。
繁盛,はんじょう,はんせい,しげもり,はんじょうう,賑わって栄えること。
万寿,まんじゅ,ばんじゅ,よろずじゅ,まんじゅじゅ,長寿を祝う言葉。
批准,ひじゅん,ひじゅ,ひじゅんん,ひせつ,条約を最終的に確認して承認すること。
不世出,ふせいしゅつ,ふよで,ぶせいしゅつ,ふせいしつ,めったに世に現れないほど優れた。
普及,ふきゅう,ふきゅうう,あまねきゅう,ふきう,広く行き渡ること。
敷設,ふせつ,しきせつ,しきまう,ふせつう,鉄道や電線を設置すること。
普遍,ふへん,ふべん,あまねあまね,ふへんん,すべてに共通して広く当てはまること。
分限,ぶんげん,ぶんげ,わけげん,ぶんげんん,その人の身分や財産の程度。
片鱗,へんりん,かたりん,へんうろこ,かたうろこ,ほんの一部。
本懐,ほんかい,ほんけ,もとかい,ほんかいいた,本来の願いや本望。
満身創痍,まんしんそうい,まんしんきず,みつみそうい,まんしんそうき,体中が傷だらけ、または非難を浴びている状態。
未曾有,みぞう,みぞうう,みそう,いまだかつてない,いまだかつて起こったことがない珍しいこと。
妙味,みょうみ,たえみ,みょうみい,みょうび,優れた味わいやおもしろみ。
名誉,めいよ,みょうよ,なよ,めいよお,誇りとなる良い評判。
目論見,もくろみ,めろんみ,もくがんけん,めのもくろみ,計画や企てのこと。
野暮,やぼ,のぼ,やば,のば,洗練されておらず、融通が利かないこと。
唯々諾々,いいだくだく,ただただだくだく,ゆいゆいだくだく,いいだく,他人の言いなりになる様子。
遺言,ゆいごん,いごん,のこりこと,ゆいこと,死後のために言葉を残すこと。「いごん」は法的な表現。
遊興,ゆうきょう,ゆうこう,あそびきょう,ゆうきょうう,遊んで楽しむこと。
理不尽,りふじん,りふづん,わけふじん,りふしん,道理に合わないこと。
流布,るふ,りゅうふ,ながれぬの,りゅうほ,世間に広く広まること。
流転,るてん,りゅうてん,ながれころがり,りゅうでん,移り変わっていくこと。
励行,れいこう,はげこう,れいぎょう,はげみおこない,決めたことを厳しく実行すること。
労資,ろうし,ろうじ,ろうしし,ろうしす,労働者と使用者（経営者）。
冤罪,えんざい,うさぎつみ,おんざい,えんさい,無実の罪。
乖離,かいり,けいり,あいり,かいれつ,かけ離れること。
詭弁,きべん,あやべん,きべんん,きべつ,こじつけの議論。
捏造,ねつぞう,でつぞう,こねづくり,ねつぞうう,事実でないことをでっち上げること。「でつぞう」は古い読み。
逼迫,ひっぱく,ふくはく,ひつはく,びっぱく,事態が差し迫って余裕がないこと。
穿つ,うがつ,ほじる,うがつす,せんつ,本質を捉える、または穴をあける。
呟く,つぶやく,げんく,つぶやき,げんくす,小声で言う。
狼狽,ろうばい,おおかみばい,ろうはい,おおかみうろたえ,慌てふためくこと。
奢侈,しゃし,おごり,しゃしし,おごりもの,必要以上に贅沢をすること。
矜持,きょうじ,きんじ,きょうじじ,きんじじ,自分の能力に対する誇り。「きんじ」は慣用読み。
進退維谷まる,しんたいいきわまる,しんたいいこくまる,しんたいいやまる,しんたいいたにまる,どうにも動きが取れなくなること。
面目,めんぼく,めんもく,めんぶつ,かおめ,世間に対する名誉や立場。「めんもく」も正解。
一新,いっしん,ひとあたらし,いちにゅう,いっしんん,すっかり新しくすること。
行脚,あんぎゃ,こうきゃ,あんあし,こうあし,諸国を巡り歩くこと。
横柄,おうへい,よこがら,おうがら,よこへい,威張って人を見下す態度。
